name	tune_min_sharpe	tune_mean_ann	holdout_sharpe	holdout_ret	alpha_influence	coverage	selection	eligible
canonical_vol s1 w0.45 sm14 c0.5	0.4381	0.0531	1.2691	0.2048	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.45 sm14 c0.8	0.4381	0.0531	1.1777	0.1852	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.45 sm18 noc	0.4505	0.0544	1.1691	0.1910	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm18 c0.5	0.4505	0.0544	1.1451	0.1863	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm18 c0.8	0.4505	0.0544	1.0536	0.1669	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.45 sm22 noc	0.4892	0.0583	1.2471	0.2093	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.45 sm22 c0.5	0.4892	0.0583	1.2227	0.2042	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.45 sm22 c0.8	0.4892	0.0583	1.1311	0.1840	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm14 noc	0.4381	0.0531	1.2742	0.2037	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm14 c0.5	0.4381	0.0531	1.2534	0.1997	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm14 c0.8	0.4381	0.0531	1.1611	0.1803	1.0000	100.00%	0.3082	True
canonical_vol s1 w0.55 sm18 noc	0.4505	0.0544	1.1286	0.1816	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm18 c0.5	0.4505	0.0544	1.1083	0.1777	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm18 c0.8	0.4505	0.0544	1.0188	0.1591	1.0000	100.00%	0.3170	True
canonical_vol s1 w0.55 sm22 noc	0.4892	0.0583	1.2162	0.2017	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm22 c0.5	0.4892	0.0583	1.1958	0.1976	1.0000	100.00%	0.3434	True
canonical_vol s1 w0.55 sm22 c0.8	0.4892	0.0583	1.1049	0.1779	1.0000	100.00%	0.3434	True
canonical_vol s-1 w0.25 sm14 noc	0.4381	0.0531	-1.8067	-0.1767	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm14 c0.5	0.4381	0.0531	-1.8866	-0.1818	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm14 c0.8	0.4381	0.0531	-1.9857	-0.1886	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.25 sm18 noc	0.4505	0.0544	-0.9871	-0.0958	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm18 c0.5	0.4505	0.0544	-1.0637	-0.1015	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm18 c0.8	0.4505	0.0544	-1.1994	-0.1122	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.25 sm22 noc	0.4892	0.0583	-0.7632	-0.0776	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.25 sm22 c0.5	0.4892	0.0583	-0.8399	-0.0837	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.25 sm22 c0.8	0.4892	0.0583	-0.9778	-0.0953	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm14 noc	0.4381	0.0531	-2.5522	-0.2679	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm14 c0.5	0.4381	0.0531	-2.5924	-0.2706	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm14 c0.8	0.4381	0.0531	-2.7282	-0.2793	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.35 sm18 noc	0.4505	0.0544	-1.8052	-0.2038	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm18 c0.5	0.4505	0.0544	-1.8421	-0.2069	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm18 c0.8	0.4505	0.0544	-1.9826	-0.2178	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.35 sm22 noc	0.4892	0.0583	-1.7464	-0.2056	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm22 c0.5	0.4892	0.0583	-1.7895	-0.2092	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.35 sm22 c0.8	0.4892	0.0583	-1.9226	-0.2199	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.45 sm14 noc	0.4381	0.0531	-2.5786	-0.2925	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm14 c0.5	0.4381	0.0531	-2.5875	-0.2933	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm14 c0.8	0.4381	0.0531	-2.7213	-0.3021	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.45 sm18 noc	0.4505	0.0544	-2.0296	-0.2432	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.45 sm18 c0.5	0.4505	0.0544	-2.0369	-0.2439	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.45 sm18 c0.8	0.4505	0.0544	-2.1756	-0.2546	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.45 sm22 noc	0.4892	0.0583	-2.0319	-0.2515	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.45 sm22 c0.5	0.4892	0.0583	-2.0434	-0.2527	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.45 sm22 c0.8	0.4892	0.0583	-2.1772	-0.2633	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.55 sm14 noc	0.4381	0.0531	-2.5480	-0.2990	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.55 sm14 c0.5	0.4381	0.0531	-2.5479	-0.2989	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.55 sm14 c0.8	0.4381	0.0531	-2.6809	-0.3079	1.0000	100.00%	0.3082	False
canonical_vol s-1 w0.55 sm18 noc	0.4505	0.0544	-2.1220	-0.2611	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.55 sm18 c0.5	0.4505	0.0544	-2.1214	-0.2610	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.55 sm18 c0.8	0.4505	0.0544	-2.2588	-0.2715	1.0000	100.00%	0.3170	False
canonical_vol s-1 w0.55 sm22 noc	0.4892	0.0583	-2.1377	-0.2703	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.55 sm22 c0.5	0.4892	0.0583	-2.1384	-0.2704	1.0000	100.00%	0.3434	False
canonical_vol s-1 w0.55 sm22 c0.8	0.4892	0.0583	-2.2701	-0.2807	1.0000	100.00%	0.3434	False
conc_scaled_momentum s1 w0.25 sm14 noc	0.4381	0.0531	1.3768	0.2322	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.25 sm14 c0.5	0.4381	0.0531	1.3695	0.2308	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.25 sm14 c0.8	0.4381	0.0531	1.2787	0.2097	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.25 sm18 noc	0.4505	0.0544	1.3640	0.2340	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.25 sm18 c0.5	0.4505	0.0544	1.3566	0.2326	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.25 sm18 c0.8	0.4505	0.0544	1.2606	0.2102	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.25 sm22 noc	0.4892	0.0583	1.4123	0.2465	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.25 sm22 c0.5	0.4892	0.0583	1.4049	0.2450	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.25 sm22 c0.8	0.4892	0.0583	1.3105	0.2223	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.35 sm14 noc	0.4381	0.0531	1.3229	0.2167	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.35 sm14 c0.5	0.4381	0.0531	1.3166	0.2155	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.35 sm14 c0.8	0.4381	0.0531	1.2297	0.1959	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.35 sm18 noc	0.4505	0.0544	1.3568	0.2278	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.35 sm18 c0.5	0.4505	0.0544	1.3509	0.2267	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.35 sm18 c0.8	0.4505	0.0544	1.2601	0.2057	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.35 sm22 noc	0.4892	0.0583	1.3651	0.2330	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.35 sm22 c0.5	0.4892	0.0583	1.3593	0.2318	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.35 sm22 c0.8	0.4892	0.0583	1.2664	0.2101	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.45 sm14 noc	0.4381	0.0531	1.2443	0.1960	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.45 sm14 c0.5	0.4381	0.0531	1.2383	0.1949	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.45 sm14 c0.8	0.4381	0.0531	1.1555	0.1770	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.45 sm18 noc	0.4505	0.0544	1.3464	0.2196	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.45 sm18 c0.5	0.4505	0.0544	1.3407	0.2186	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.45 sm18 c0.8	0.4505	0.0544	1.2515	0.1985	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.45 sm22 noc	0.4892	0.0583	1.3411	0.2225	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.45 sm22 c0.5	0.4892	0.0583	1.3354	0.2214	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.45 sm22 c0.8	0.4892	0.0583	1.2430	0.2003	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.55 sm14 noc	0.4381	0.0531	1.2291	0.1872	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.55 sm14 c0.5	0.4381	0.0531	1.2232	0.1862	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.55 sm14 c0.8	0.4381	0.0531	1.1437	0.1695	1.0000	100.00%	0.3082	True
conc_scaled_momentum s1 w0.55 sm18 noc	0.4505	0.0544	1.3060	0.2051	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.55 sm18 c0.5	0.4505	0.0544	1.3004	0.2041	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.55 sm18 c0.8	0.4505	0.0544	1.2118	0.1850	1.0000	100.00%	0.3170	True
conc_scaled_momentum s1 w0.55 sm22 noc	0.4892	0.0583	1.3028	0.2084	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.55 sm22 c0.5	0.4892	0.0583	1.2973	0.2074	1.0000	100.00%	0.3434	True
conc_scaled_momentum s1 w0.55 sm22 c0.8	0.4892	0.0583	1.2044	0.1871	1.0000	100.00%	0.3434	True
radial_distance s1 w0.25 sm14 noc	0.4381	0.0531	1.1553	0.1579	1.0000	100.00%	0.3082	True
radial_distance s1 w0.25 sm14 c0.5	0.4381	0.0531	1.1166	0.1513	1.0000	100.00%	0.3082	True
radial_distance s1 w0.25 sm14 c0.8	0.4381	0.0531	0.9970	0.1312	1.0000	100.00%	0.3082	True
radial_distance s1 w0.25 sm18 noc	0.4505	0.0544	1.0637	0.1472	1.0000	100.00%	0.3170	True
radial_distance s1 w0.25 sm18 c0.5	0.4505	0.0544	1.0256	0.1408	1.0000	100.00%	0.3170	True
radial_distance s1 w0.25 sm18 c0.8	0.4505	0.0544	0.9051	0.1206	1.0000	100.00%	0.3170	True
radial_distance s1 w0.25 sm22 noc	0.4892	0.0583	1.0592	0.1483	1.0000	100.00%	0.3434	True
radial_distance s1 w0.25 sm22 c0.5	0.4892	0.0583	1.0203	0.1416	1.0000	100.00%	0.3434	True
radial_distance s1 w0.25 sm22 c0.8	0.4892	0.0583	0.8962	0.1207	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm14 noc	0.4381	0.0531	0.9548	0.1142	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm14 c0.5	0.4381	0.0531	0.9197	0.1093	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm14 c0.8	0.4381	0.0531	0.7837	0.0903	1.0000	100.00%	0.3082	True
radial_distance s1 w0.35 sm18 noc	0.4505	0.0544	0.8757	0.1071	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm18 c0.5	0.4505	0.0544	0.8414	0.1022	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm18 c0.8	0.4505	0.0544	0.7064	0.0831	1.0000	100.00%	0.3170	True
radial_distance s1 w0.35 sm22 noc	0.4892	0.0583	0.7990	0.0983	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm22 c0.5	0.4892	0.0583	0.7628	0.0931	1.0000	100.00%	0.3434	True
radial_distance s1 w0.35 sm22 c0.8	0.4892	0.0583	0.6233	0.0735	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm14 noc	0.4381	0.0531	0.7010	0.0760	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm14 c0.5	0.4381	0.0531	0.6712	0.0724	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm14 c0.8	0.4381	0.0531	0.5249	0.0546	1.0000	100.00%	0.3082	True
radial_distance s1 w0.45 sm18 noc	0.4505	0.0544	0.6341	0.0697	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm18 c0.5	0.4505	0.0544	0.6051	0.0661	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm18 c0.8	0.4505	0.0544	0.4541	0.0477	1.0000	100.00%	0.3170	True
radial_distance s1 w0.45 sm22 noc	0.4892	0.0583	0.5758	0.0634	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm22 c0.5	0.4892	0.0583	0.5450	0.0596	1.0000	100.00%	0.3434	True
radial_distance s1 w0.45 sm22 c0.8	0.4892	0.0583	0.3920	0.0410	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm14 noc	0.4381	0.0531	0.5362	0.0536	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm14 c0.5	0.4381	0.0531	0.5108	0.0508	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm14 c0.8	0.4381	0.0531	0.3560	0.0339	1.0000	100.00%	0.3082	True
radial_distance s1 w0.55 sm18 noc	0.4505	0.0544	0.5020	0.0510	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm18 c0.5	0.4505	0.0544	0.4772	0.0482	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm18 c0.8	0.4505	0.0544	0.3172	0.0304	1.0000	100.00%	0.3170	True
radial_distance s1 w0.55 sm22 noc	0.4892	0.0583	0.4453	0.0452	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm22 c0.5	0.4892	0.0583	0.4195	0.0423	1.0000	100.00%	0.3434	True
radial_distance s1 w0.55 sm22 c0.8	0.4892	0.0583	0.2562	0.0242	1.0000	100.00%	0.3434	True
