name	holdout_sharpe	holdout_ann	holdout_ret	holdout_dd	composite	beats_raw
timing sm18 thr0.60 tmin0.50 hard cw90	1.6885	0.1521	0.3251	-0.0773	1.8985	False
timing sm20 thr0.45 tmin0.00 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.00 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.00 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.00 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.00 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.00 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.25 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.45 tmin0.50 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.00 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.25 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.50 tmin0.50 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.00 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.25 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.55 tmin0.50 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.00 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.25 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 soft cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 soft cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 soft cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 hard cw45	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 hard cw60	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm20 thr0.60 tmin0.50 hard cw90	1.6819	0.1523	0.3255	-0.0758	1.8911	False
timing sm22 thr0.45 tmin0.00 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.00 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.00 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.00 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.00 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.00 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.25 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.45 tmin0.50 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.00 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.25 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.50 tmin0.50 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.00 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.25 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.55 tmin0.50 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.00 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.25 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 soft cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 soft cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 soft cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 hard cw45	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 hard cw60	1.6921	0.1542	0.3300	-0.0739	1.9017	True
timing sm22 thr0.60 tmin0.50 hard cw90	1.6921	0.1542	0.3300	-0.0739	1.9017	True
